Iteration 0, E0 = 66813.30571350959, E1 = 65412.76620123869, E2 = 66534.40501754166, E3 = 66238.28810239611, a = 0.1, b = 0.1, g = 0.1 

Iteration 1, E0 = 22675.83946101764, E1 = 22673.428461919546, E2 = 22675.8123626808, E3 = 22675.83946101764, a = 700.3697561354471, b = 139.55034798396227, g = 287.6088055567394 

Iteration 2, E0 = 21810.113536596178, E1 = 21808.445973754377, E2 = 21810.11353298134, E3 = 21810.113536596178, a = 701.5752556844942, b = 139.56389715238183, g = 287.6088055567394 

Iteration 3, E0 = 21803.186587188735, E1 = 21801.534781520302, E2 = 21803.18658295026, E3 = 21803.186587188735, a = 702.409037105395, b = 139.56389895980064, g = 287.6088055567394 

Iteration 4, E0 = 21796.389860767496, E1 = 21794.75366775586, E2 = 21796.389855907724, E3 = 21796.389860767496, a = 703.2349399396113, b = 139.5639010790379, g = 287.6088055567394 

Iteration 5, E0 = 21789.72094510954, E1 = 21788.100222147936, E2 = 21789.720939630803, E3 = 21789.72094510954, a = 704.0530364454295, b = 139.56390350892397, g = 287.6088055567394 

Iteration 6, E0 = 21783.177477017412, E1 = 21781.5720833652, E2 = 21783.177470922034, E3 = 21783.177477017412, a = 704.8633979262319, b = 139.5639062482929, g = 287.6088055567394 

Iteration 7, E0 = 21776.757141064292, E1 = 21775.166937794078, E2 = 21776.757134354604, E3 = 21776.757141064292, a = 705.6660947523375, b = 139.56390929598237, g = 287.6088055567394 

Iteration 8, E0 = 21770.4143052244, E1 = 21768.83820331809, E2 = 21770.4143052244, E3 = 21770.4143052244, a = 706.4611963874446, b = 139.56391265082638, g = 287.6088055567394 

Iteration 9, E0 = 21764.225992824795, E1 = 21762.66480994978, E2 = 21764.225992824795, E3 = 21764.225992824795, a = 707.2492473405997, b = 139.56391265082638, g = 287.6088055567394 

Iteration 10, E0 = 21758.154221048688, E1 = 21756.607823436312, E2 = 21758.154221048688, E3 = 21758.154221048688, a = 708.0298387781073, b = 139.56391265082638, g = 287.6088055567394 

Iteration 11, E0 = 21752.19685255757, E1 = 21750.66510807937, E2 = 21752.19685255757, E3 = 21752.19685255757, a = 708.8030375842951, b = 139.56391265082638, g = 287.6088055567394 

Iteration 12, E0 = 21746.351791994988, E1 = 21744.834570124287, E2 = 21746.351791994988, E3 = 21746.351791994988, a = 709.5689098233939, b = 139.56391265082638, g = 287.6088055567394 

Iteration 13, E0 = 21740.616984958997, E1 = 21739.114156728534, E2 = 21740.616984958997, E3 = 21740.616984958997, a = 710.3275207587445, b = 139.56391265082638, g = 287.6088055567394 

Iteration 14, E0 = 21734.990416974146, E1 = 21733.50185493995, E2 = 21734.990416974146, E3 = 21734.990416974146, a = 711.078934873976, b = 139.56391265082638, g = 287.6088055567394 

Iteration 15, E0 = 21734.32306322296, E1 = 21732.687176963955, E2 = 21734.32306239728, E3 = 21734.32306322296, a = 711.8232158910738, b = 139.56391265082638, g = 287.6088055567394 

Iteration 16, E0 = 21727.655545304497, E1 = 21726.034412606507, E2 = 21727.655543876364, E3 = 21727.655545304497, a = 712.6411590205768, b = 139.56391306366604, g = 287.6088055567394 

Iteration 17, E0 = 21721.44328808995, E1 = 21719.827313973183, E2 = 21721.44328606163, E3 = 21721.44328808995, a = 713.4517253695718, b = 139.56391377773215, g = 287.6088055567394 

Iteration 18, E0 = 21714.936945924175, E1 = 21713.335504546536, E2 = 21714.936943294393, E3 = 21714.936945924175, a = 714.2597124279561, b = 139.56391479189332, g = 287.6088055567394 

Iteration 19, E0 = 21708.547041171638, E1 = 21706.96000396698, E2 = 21708.54703794263, E3 = 21708.547041171638, a = 715.0604331167757, b = 139.56391610678438, g = 287.6088055567394 

Iteration 20, E0 = 21702.271507085432, E1 = 21700.698747132246, E2 = 21702.27150325942, E3 = 21702.271507085432, a = 715.8539517191053, b = 139.56391772128845, g = 287.6088055567394 

Iteration 21, E0 = 21696.108317398805, E1 = 21694.54970937836, E2 = 21696.108312978027, E3 = 21696.108317398805, a = 716.6403316956981, b = 139.56391963429414, g = 287.6088055567394 

Iteration 22, E0 = 21690.05548528973, E1 = 21688.51090545272, E2 = 21690.055480276398, E3 = 21690.05548528973, a = 717.4196357059205, b = 139.56392184468277, g = 287.6088055567394 

Iteration 23, E0 = 21684.111062426375, E1 = 21682.580388550567, E2 = 21684.11105682272, E3 = 21684.111062426375, a = 718.1919256244252, b = 139.5639243513484, g = 287.6088055567394 

Iteration 24, E0 = 21678.273137997272, E1 = 21676.75624935314, E2 = 21678.27313180551, E3 = 21678.273137997272, a = 718.9572625623292, b = 139.56392715317597, g = 287.6088055567394 

Iteration 25, E0 = 21672.539837792756, E1 = 21671.036615108493, E2 = 21672.539831015114, E3 = 21672.539837792756, a = 719.715706884395, b = 139.56393024905773, g = 287.6088055567394 

Iteration 26, E0 = 21666.90932332466, E1 = 21665.419648748637, E2 = 21666.909315963352, E3 = 21666.90932332466, a = 720.4673182265266, b = 139.56393363787865, g = 287.6088055567394 

Iteration 27, E0 = 21661.379790940657, E1 = 21659.854451437175, E2 = 21661.379782997905, E3 = 21661.379790940657, a = 721.2121555145383, b = 139.56393731853277, g = 287.6088055567394 

Iteration 28, E0 = 21655.717825373693, E1 = 21654.254345353806, E2 = 21655.717825373693, E3 = 21655.717825373693, a = 721.974825266279, b = 139.56394128990868, g = 287.6088055567394 

Iteration 29, E0 = 21650.38093729843, E1 = 21648.930657847377, E2 = 21650.38093729843, E3 = 21650.38093729843, a = 722.7065652762227, b = 139.56394128990868, g = 287.6088055567394 

Iteration 30, E0 = 21645.139841904598, E1 = 21643.702650567513, E2 = 21645.139841904598, E3 = 21645.139841904598, a = 723.4317050017486, b = 139.56394128990868, g = 287.6088055567394 

Iteration 31, E0 = 21639.99286703459, E1 = 21638.568652621205, E2 = 21639.99286703459, E3 = 21639.99286703459, a = 724.1503006702911, b = 139.56394128990868, g = 287.6088055567394 

Iteration 32, E0 = 21634.938371448152, E1 = 21633.527024006038, E2 = 21634.938371448152, E3 = 21634.938371448152, a = 724.8624078769841, b = 139.56394128990868, g = 287.6088055567394 

Iteration 33, E0 = 21629.974744120856, E1 = 21628.57615490772, E2 = 21629.974744120856, E3 = 21629.974744120856, a = 725.568081598041, b = 139.56394128990868, g = 287.6088055567394 

Iteration 34, E0 = 21625.100403554276, E1 = 21623.714465006964, E2 = 21625.100403554276, E3 = 21625.100403554276, a = 726.2673762046085, b = 139.56394128990868, g = 287.6088055567394 

Iteration 35, E0 = 21620.313797085797, E1 = 21618.94040279949, E2 = 21620.313797085797, E3 = 21620.313797085797, a = 726.9603454782642, b = 139.56394128990868, g = 287.6088055567394 

Iteration 36, E0 = 21615.61340026407, E1 = 21614.252444962593, E2 = 21615.61340026407, E3 = 21615.61340026407, a = 727.6470426214179, b = 139.56394128990868, g = 287.6088055567394 

Iteration 37, E0 = 21610.99771620067, E1 = 21609.649095714587, E2 = 21610.99771620067, E3 = 21610.99771620067, a = 728.3275202721558, b = 139.56394128990868, g = 287.6088055567394 

Iteration 38, E0 = 21606.465274973583, E1 = 21605.128886211845, E2 = 21606.465274973583, E3 = 21606.465274973583, a = 729.0018305151967, b = 139.56394128990868, g = 287.6088055567394 

Iteration 39, E0 = 21602.01463300923, E1 = 21600.690373941135, E2 = 21602.01463300923, E3 = 21602.01463300923, a = 729.6700248960657, b = 139.56394128990868, g = 287.6088055567394 

Iteration 40, E0 = 21597.644372536815, E1 = 21596.332142165465, E2 = 21597.644372536815, E3 = 21597.644372536815, a = 730.3321544301122, b = 139.56394128990868, g = 287.6088055567394 

Iteration 41, E0 = 21593.353101006738, E1 = 21592.052799350407, E2 = 21593.353101006738, E3 = 21593.353101006738, a = 730.9882696157871, b = 139.56394128990868, g = 287.6088055567394 

Iteration 42, E0 = 21589.139450565286, E1 = 21587.8509786322, E2 = 21589.139450565286, E3 = 21589.139450565286, a = 731.6384204439524, b = 139.56394128990868, g = 287.6088055567394 

Iteration 43, E0 = 21585.00207751357, E1 = 21583.725337283748, E2 = 21585.00207751357, E3 = 21585.00207751357, a = 732.2826564104959, b = 139.56394128990868, g = 287.6088055567394 

Iteration 44, E0 = 21580.939661802648, E1 = 21579.674556208305, E2 = 21580.939661802648, E3 = 21580.939661802648, a = 732.9210265254075, b = 139.56394128990868, g = 287.6088055567394 

Iteration 45, E0 = 21576.950906543818, E1 = 21575.697339447637, E2 = 21576.950906543818, E3 = 21576.950906543818, a = 733.5535793225787, b = 139.56394128990868, g = 287.6088055567394 

